Name,pr
"The Beatles",0.00663743934998669
"Cab Calloway",0.00409279450404965
"Bob Dylan",0.00399542227006993
"Louis Jordan",0.0039497395644953
"Billie Holiday",0.0038634811142622
"Lester Young",0.00337261896626799
"The Rolling Stones",0.00281069588906215
"Hank Williams",0.00279660763719391
"Roy Acuff",0.00278858699695271
"T-Bone Walker",0.00251666676500923
"Chuck Berry",0.00249136348510746
"The Mills Brothers",0.00234112077775994
"Woody Guthrie",0.0023257508186656
"Elvis Presley",0.00224520409484782
"Nat King Cole",0.00224232622462525
"James Brown",0.00223786179264048
"Muddy Waters",0.00223138610540886
"Jimi Hendrix",0.00220165544439185
"Ray Charles",0.00215706913059612
"Sam Cooke",0.00208376537669564
"David Bowie",0.00204680469170313
"Charlie Christian",0.0019731084478598
"Miles Davis",0.00194936262277263
"Little Richard",0.00191891554166853
"The Kinks",0.0018782262868517
"Ernest Tubb",0.00184560896535117
"The Velvet Underground",0.00182262907512337
"Billy Eckstine",0.00180952743205315
"Charlie Parker",0.00180021914503689
"Dizzy Gillespie",0.00179838571453688
"Howlin' Wolf",0.00171290437511094
"Led Zeppelin",0.00168107023792376
"Mississippi Fred McDowell",0.00162476622189962
"The Beach Boys",0.00161437062409337
"Marvin Gaye",0.00160360214778908
"The Who",0.00159374013364389
"Sex Pistols",0.00158303711129052
"John Coltrane",0.00152883791853946
"Bill Monroe",0.00144552573019073
"Sister Rosetta Tharpe",0.00143714410199207
"Roy Brown",0.00143451361642581
"Brian Eno",0.0014003012808651
"Pink Floyd",0.00138409673603487
"Black Sabbath",0.00136566258239077
"The Byrds",0.00135952091744109
"Mississippi Sheiks",0.00134973178137981
"Ella Fitzgerald",0.00134223992567221
"Stevie Wonder",0.00132351241806641
"Buddy Holly",0.00132081500327716
"Son House",0.00132000521777372
"Kraftwerk",0.00125790359502463
"The Yardbirds",0.0012269576609473
"Frank Sinatra",0.00121691797042466
"Smokey Robinson",0.00119309954704713
"Bo Diddley",0.0011757805103652
"The Stooges",0.00115336853036112
"The Ink Spots",0.00114815398328134
"The Clash",0.0011467406114485
"Ramones",0.00114014082904769
"Erskine Hawkins",0.00111974353464787
"Bob Wills",0.00110959591819991
"Jackie Wilson",0.00109832984322956
"Otis Redding",0.00108322253040019
"Cream",0.00105590933107639
"Pete Seeger",0.0010529978750417
"Fats Domino",0.00104881530414447
"Johnny Cash",0.00103929821592706
"Thelonious Monk",0.00103921473548177
"The Platters",0.00103387977545445
"Aretha Franklin",0.00102668520802903
"Roxy Music",0.00102457886119888
"Michael Jackson",0.00100494731439831
"John Cage",0.000993804288996709
"John Lee Hooker",0.000980375845512208
"Wynonie Harris",0.00097807524715546
"Roy Eldridge",0.000977238745030804
"Prince",0.000944129790689992
"Neil Young",0.000939906588156435
"Little Willie John",0.000938433348799068
"Jimmy Reed",0.000936468201122863
"Bud Powell",0.000917940270921184
"Willie Dixon",0.000906144614164056
"The Drifters",0.000905448515563844
"Merle Haggard",0.000886635615927732
"Deep Purple",0.000873010148246902
"Carl Perkins",0.000856024831605046
"Jerry Lee Lewis",0.000844347881724946
"Sly & the Family Stone",0.000838728951833269
"Curtis Mayfield",0.000836352639668531
"Elmore James",0.000824723306169216
"Roscoe Holcomb",0.000801666520709702
"Hank Snow",0.000797537689243718
"Joni Mitchell",0.000796547356553285
"Black Flag",0.000791789084742024
"The Everly Brothers",0.000788431395836289
"Amos Milburn",0.000786500848410651
"Max Roach",0.000770415826424304
"Spike Jones",0.000758253207921219
"Metallica",0.000754352746122145
"The Band",0.000752123213065203
"Dinah Washington",0.000750796545596433
"Madonna",0.000739078183436774
"Sarah Vaughan",0.000731415353700048
"The Doors",0.000722566467541756
"The Isley Brothers",0.000719640975639363
"B.B. King",0.000708562704349888
"T. Rex",0.000703015179914408
"Nirvana",0.000701028001663191
"Lightnin' Hopkins",0.000693382490755511
"Diana Ross",0.000689448054402189
"Joy Division",0.000682391833445463
"R.E.M.",0.00068105514844858
"Sonny Boy Williamson I",0.000669292022315789
"MC5",0.000666769826661083
"Parliament",0.000664176770684245
"Al Green",0.000663732285901973
"Lefty Frizzell",0.000658989684267385
"Eddie Cochran",0.000654615993506097
"The Impressions",0.000652389781368567
"Kiss",0.000651236090938069
"Ornette Coleman",0.000643132273267005
"Kenny Clarke",0.000637498114639683
"Judas Priest",0.000637291747174118
"U2",0.000628860538619352
"Burt Bacharach",0.000628327213591613
"Frank Zappa",0.000628207792776025
"Ben Webster",0.000626138641977047
"The Temptations",0.000622590453015116
"Blondie",0.000621102495227833
"The Shadows",0.000618523564168652
"James Cleveland",0.000618216637445753
"Terry Riley",0.000616634343644079
"Wire",0.000614506785058129
"The Supremes",0.000613359674795711
"Percy Mayfield",0.000606785400203942
"Elton John",0.000605948894342484
"Carole King",0.000604869403998212
"Horace Silver",0.000600003012260116
"Chet Atkins",0.000599533006338842
"Iron Maiden",0.000599492642420792
"Roy Orbison",0.000599074615047466
"Lee ""Scratch"" Perry",0.000597089466144136
"Art Blakey",0.000596968204240597
"George Jones",0.000592956481515256
"Nina Simone",0.000592847514659469
"Steve Reich",0.00058788258552444
"Jonah Jones",0.000586491889378827
"The Skatalites",0.000585402431440386
"The Cure",0.000584766757226886
"Talking Heads",0.000580795275696434
"Van Morrison",0.000578780899469717
"Slim Harpo",0.000576129877224406
"Titus Turner",0.00057361816108141
"Gladys Knight",0.000573364455949361
"Slim Gaillard",0.000571774445160551
"Bee Gees",0.00056721138327184
"Gene Vincent",0.000566987779528108
"Iggy Pop",0.000564543254609211
"Lena Horne",0.000559097696359893
"The Louvin Brothers",0.000558170029970902
"Gil Evans",0.000554058601905286
"Etta James",0.000551932225648509
"The Coasters",0.000550443455231188
"Janet Jackson",0.000548834182037385
"Chic",0.000545978619068635
"Maxine Sullivan",0.000545957030721276
"The Hollies",0.000545095153979511
"New York Dolls",0.000543833390002356
"Ray Price",0.000543723529992812
"Ã‰dith Piaf",0.00054258971739752
"AndraÃ© Crouch",0.000541948437730758
"Burl Ives",0.000540706311195454
"New Order",0.000540572503126916
"Helen Ward",0.0005403307512461
"The Fugs",0.000540188493583333
"Big Joe Williams",0.000536831957104683
"The Moonglows",0.00053625110978683
"Roy Rogers",0.000536009453242971
"Pete Johnson",0.000534880334974327
"The Clovers",0.000534796664504236
"Buddy Guy",0.000534337287944383
"Alice Cooper",0.000533519392248984
"Wilson Pickett",0.000533390424056961
"Can",0.00053061693610296
"Ewan MacColl",0.000528602492892222
"Queen",0.000527794545176325
"Stan Kenton",0.000527666689999736
"Willie Nelson",0.000524891686491829
"Minor Threat",0.000524697407901353
"MotÃ¶rhead",0.000523637180027336
"Bruce Springsteen",0.000523363572545294
"Buck Owens",0.000522731067504074
"Ravi Shankar",0.000521321908277893
"Professor Longhair",0.000521236310747556
"The Dells",0.000520387094514281
"Junior Parker",0.000520175157696162
"Rufus Thomas",0.000515568749843128
"Erroll Garner",0.000515538315006262
"The Zombies",0.000514064678046307
"Charles TrÃ©net",0.000512638169673454
"Jimmy Smith",0.000512214103481466
"Tito Puente",0.000511834535895333
"Bernard Herrmann",0.000511708659013961
"Slayer",0.000510971262721964
"Albert King",0.000508639321044407
"Lou Reed",0.000506461998399593
"Solomon Burke",0.000505697542003814
"The Smiths",0.000505602428764456
"John Mayall",0.000503980993527758
"Bill Evans",0.000502748493176466
"Raymond Scott",0.000497857217147113
"Red Foley",0.00049683005746586
"Leonard Cohen",0.000487161535924
"Big Star",0.000485764309980117
"Jacques Brel",0.000485642737268104
"Harold Arlen",0.000484794920417422
"Kitty Wells",0.000484272110884534
"Johnny Kidd & the Pirates",0.000483775399150932
"Ramblin' Jack Elliott",0.000483367855921271
"Oscar Peterson",0.000483045574624625
"Quincy Jones",0.00048286617043273
"Sonic Youth",0.000482006270157727
"Merle Travis",0.000480289992821303
"Yes",0.000480078616003825
"Aerosmith",0.000478997454444377
"Earth, Wind & Fire",0.000478852823835596
"Sun Ra",0.000478808021510615
"Johnny Hartman",0.000478747450604973
"Little Walter",0.000478188943052859
"Flatt & Scruggs",0.000476755269627436
"Harry James",0.000475857563070343
"Grateful Dead",0.000475350968938415
"Alan Lomax",0.000473445353087193
"Television",0.000473131367046824
"Giorgio Moroder",0.000472959388233877
"Paul Simon",0.000472210147372376
"Pixies",0.000471261754319634
"Green Day",0.000471248907640678
"The Flamingos",0.000470561066581748
"Ruth Brown",0.000468223613112001
"Tangerine Dream",0.000467746642817944
"The Shirelles",0.000467285954595363
"Donna Summer",0.000466848566648505
"Fugazi",0.000463631889708268
"Silver Apples",0.000463024417224748
"U-Roy",0.000462564621947046
"Whitney Houston",0.000460769517344529
"Paul McCartney",0.000460095777956387
"The Clancy Brothers",0.000458783051228899
"Chaka Khan",0.000458658627040819
"Suicide",0.000458594641782809
"Jimmy Cliff",0.000458369410390098
"Barney Kessel",0.00045728637176222
"Patsy Cline",0.00045513004395571
"Van Halen",0.00045497494181286
"King Curtis",0.000453682683699832
"Funkadelic",0.000453216776363755
"Radiohead",0.000452971213517952
"King Crimson",0.000452725517367444
"Davy Graham",0.00045233824052359
"Fred Neil",0.000451434007305354
"AC/DC",0.000449972964814085
"The Damned",0.000449914741256957
"Joan Baez",0.000446180446504426
"Gerry Mulligan",0.000446106998391758
"Elizabeth Cotten",0.000444914276570588
"The Jackson 5",0.000444386880426655
"The Jam",0.000442166982402474
"Hamza el Din",0.000441501474163132
"Daft Punk",0.000441485347416994
"Cocteau Twins",0.000441246244113491
"Billy Strayhorn",0.000440084538677629
"Celia Cruz",0.000438963564649786
"The Police",0.00043872874969399
"Aaliyah",0.000436954223892561
"Siouxsie and the Banshees",0.000435847079031378
"Pearl Jam",0.000434934773895578
"Dean Martin",0.000434851806677695
"The Stanley Brothers",0.000434693165464096
"Amy Grant",0.000434292470322617
"Big Mama Thornton",0.000433208977512344
"The Animals",0.000433157176979961
"Simon & Garfunkel",0.000432979790368585
"Don Byas",0.000432867965188112
"Peggy Lee",0.00043022750716193
"Ennio Morricone",0.00042959336572822
"My Bloody Valentine",0.000429453660579635
"Jeff Beck",0.000429197207751803
"George Strait",0.00042898762168721
"Guitar Slim",0.000428733599497944
"Peter Tosh",0.000428174814146539
"Gang of Four",0.000427653047393701
"TLC",0.000427623859615186
"R. Kelly",0.000427419499291955
"Donovan",0.000426550726008424
"Odetta",0.000426309075456101
"The Allman Brothers Band",0.00042446127350767
"Vanilla Fudge",0.000424042742595763
"Patti Smith",0.000423170071522611
"James Taylor",0.000422087349060094
"Buffalo Springfield",0.000421328436166005
"The Kingston Trio",0.000421282678410964
"Usher",0.00042095376074059
"Charles Aznavour",0.000419388685579733
"Gary Numan",0.000418552855475217
"HÃ¼sker DÃ¼",0.000417848693806707
"Gram Parsons",0.000417626010977768
"Sonny Rollins",0.000414695293165593
"Fleetwood Mac",0.000414235576599101
"Dave Van Ronk",0.00041330641555138
"Cannonball Adderley",0.00041270791822963
"Dionne Warwick",0.000410984393989624
"Jay McShann",0.000409515085883622
"The Maddox Brothers & Rose",0.00040896574751452
"JoÃ£o Gilberto",0.00040808239487958
"Eagles",0.00040751729270568
"Frankie Lymon",0.000407285155575598
"Bobby ""Blue"" Bland",0.000406673302603538
"Elvis Costello",0.000405585328442402
"AntÃ´nio Carlos Jobim",0.000404772098911006
"Tony Bennett",0.000404462601587162
"Compay Segundo",0.000402698079139352
"Eddy Arnold",0.00040219026452236
"PÃ©rez Prado",0.000400759938890727
"Depeche Mode",0.000400734894234905
"Ohio Players",0.000400732588544111
"Coldplay",0.000400379309779852
"Ralph Stanley",0.00040002358999648
"The Replacements",0.000397739828697781
"Doc Watson",0.000397544691996536
"Toots & the Maytals",0.000397241098946807
"Luther Vandross",0.000397134087349766
"The Shangri-Las",0.000396688546878184
"Perry Como",0.000396419743954335
"Nine Inch Nails",0.000394484366444673
"Alabama",0.000394362564790626
"Hank Thompson",0.000393265684092011
"Minnie Riperton",0.000393154235319877
"Rush",0.000392976769581444
"Ben E. King",0.000391379119948276
"Keith Sweat",0.000391230374565015
"Illinois Jacquet",0.000391141413995641
"Dead Kennedys",0.000390150142467762
"Webb Pierce",0.000389546368836036
"BjÃ¶rk",0.000389114335028937
"The Ronettes",0.000388994385317633
"Duane Eddy",0.000388647326398078
"Blue Cheer",0.000387681963019301
"Bad Company",0.000385697154909459
"Mariah Carey",0.000385091837604927
"The Pretty Things",0.000385060102160511
"Beny MorÃ©",0.000382973657605275
"blink-182",0.000382117156298191
"Sonny Stitt",0.000381209474659858
"Nick Drake",0.000380322633184063
"King Tubby",0.00038027053184673
"Dolly Parton",0.000379759759719532
"Teddy Pendergrass",0.000378886894129155
"Marlene Dietrich",0.000378431106104151
"Ultravox",0.000377901324435343
"Slam Stewart",0.000377333765357565
"Carmen Miranda",0.000376253023344922
"Sade",0.000376058179116061
"The O'Jays",0.000374458093058675
"Soft Machine",0.00037413487608842
"Faith No More",0.000373983539003527
"Boyz II Men",0.000372331824998696
"Korn",0.000372227414135699
"Mary J. Blige",0.000370674993840501
"Bad Brains",0.000370650275064594
"Little Jimmy Scott",0.000370428558133109
"Fats Navarro",0.000370113404508863
"Anita O'Day",0.000369740184035829
"Bad Religion",0.000369365680736262
"Moondog",0.000368921388017414
"Dexter Gordon",0.000368506026263938
"Cheap Trick",0.000368433466832395
"The Moody Blues",0.000366510080593678
"Santana",0.000366106209549994
"Peter Gabriel",0.000365986386718279
"Venom",0.000365266600694794
"Jimmy Yancey",0.000365226699639899
"Bukka White",0.000364463878974104
"Teena Marie",0.00036395974158293
"Tom Petty",0.00036378689410692
"Loretta Lynn",0.000363653832903464
"Descendents",0.000362228584937794
"Thin Lizzy",0.000361901530911855
"Shirley Caesar",0.000361127008788784
"ABBA",0.000360523213884972
"Marty Robbins",0.000360389803679428
"Tom Waits",0.000359129409316298
"Cisco Houston",0.000358990110144843
"Jefferson Airplane",0.000358764240781081
"Robert Plant",0.000358167143364573
"Waylon Jennings",0.000358134957729584
"Sunny Day Real Estate",0.000357600158156146
"Small Faces",0.000357571202636365
"Harry Belafonte",0.000357229438888442
"Isaac Hayes",0.000357183388153872
"Bert Jansch",0.000357049136963915
"Massive Attack",0.000355757984363441
"Love",0.000354334596562606
"Barry White",0.00035428129183411
"Herbie Hancock",0.000353711421373591
"Otis Rush",0.000353427290631721
"Neu!",0.000352833142973405
"Bobby Womack",0.00035267787121263
"Ritchie Valens",0.000352629832518581
"George Duke",0.000352528410549979
"Fela Kuti",0.000351944683258111
"Jerry Butler",0.000351553905542578
"Jean Ritchie",0.00035151942650279
"The Jesus and Mary Chain",0.000349669596433688
"Guns N' Roses",0.00034924936680649
"Lee Wiley",0.000348690032349556
"The Marvelettes",0.000347530249593391
"Captain Beefheart",0.000345361916019397
"Iron Butterfly",0.000344167875109061
"The Chantels",0.000343690503431283
"Mose Allison",0.000343531018933928
"George Russell",0.000343477446338396
"The J.B.'s",0.000343137469117773
"Woody Herman",0.000342208526161962
"Erykah Badu",0.000341675187188782
"Link Wray",0.000341169754199668
"Smokey Robinson & the Miracles",0.000340363433826949
"George Carlin",0.000340194707065802
"Mary Wells",0.00033995291263986
"Deftones",0.000339828095979391
"Ahmad Jamal",0.000339368801855109
"Chet Baker",0.00033933354898777
"Pharrell Williams",0.000339126353587819
"Portishead",0.000338557394150724
"Artie Shaw",0.000337921427127845
"Pat Boone",0.000337574776365084
"Johnny Otis",0.000337323000115656
"The Flying Burrito Brothers",0.000337177861695152
"Eric Clapton",0.00033658741879802
"Donny Hathaway",0.000336490083267874
"Henry Mancini",0.000336230966402247
"Johnny Ace",0.00033567283187101
"Hank Ballard",0.000335013302549046
"Irma Thomas",0.000334839273787141
"John Jacob Niles",0.00033478817992481
"Charles Mingus",0.000334689783743398
"Tina Turner",0.000333829128743742
"New Edition",0.000332297076688444
"Scott Walker",0.000332224105840116
"Operation Ivy",0.000331434705721001
"Red Hot Chili Peppers",0.000331170235349764
"The Ravens",0.000330371828552559
"Crosby, Stills & Nash",0.000330217704927329
"Dave Grusin",0.000330209198344628
"Ella Mae Morse",0.000330045742492225
"Jodeci",0.000329477348231789
"Patti LaBelle",0.000329141588918759
"John Fahey",0.000328569321756495
"Slade",0.000328440306827878
"Desmond Dekker",0.000328394288786696
"Fairport Convention",0.00032829977801745
"Jim Reeves",0.000326817637115194
"Tim Hardin",0.000326540023498183
"Don Covay",0.000326223083599546
"Conway Twitty",0.000326086765758884
"Gwen Stefani",0.000325425670847126
"RubÃ©n Blades",0.000325299287137136
"Janis Joplin",0.000325179111912763
"Weezer",0.000324989612100055
"The Move",0.000323607335321664
"Free",0.000322015870777813
"Bobby Hackett",0.000321694426021384
