,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit
Pop/Rock,-0.06340236071525703,0.5192587897784866,-0.011502359047538508,0.07155801608082023,0.06165535548982839,0.04584938623368183,-0.0029460584282882023,-0.5615572180286814,-0.15057968909512165,0.029863317324952895,-0.006747894576753131,0.6800888070657373
Electronic,0.13880208587736603,0.18761839231357785,-0.19090047275535715,0.00024293460374960987,0.019002096821376296,-0.24770937950876207,0.0519094806967428,-0.4247719285261088,1.6352006503791958,-0.0036246524001381122,0.07174919403968835,0.972917658257972
Reggae,0.3446546222294737,-0.0479214327393184,0.34717298112155626,-0.024271021061539933,0.003826186643972947,-0.10574921919418127,0.09148814653787155,-0.28283025267473433,-0.15320869700326062,-0.07767289439044532,0.2526694607535943,-0.41617194611273045
Jazz,-0.019670439557496294,-0.40196661557192165,-0.09202470762556782,-0.0557854429093725,-0.0874038465475085,-0.21068073249285893,-0.05743362759313008,0.8851886841050814,2.1778572982769377,-0.04415604796340603,-0.002133755840743127,-0.9915415262028808
Country,0.12551722000559956,-0.08353076940525815,0.13739707008259935,0.0058451941435789705,0.0022279309360797362,0.31923649925869,0.03333318584587075,0.14272027514301508,-0.7385803128050002,-0.024703935803000385,-0.12253113512334456,-0.9038484253700022
Comedy/Spoken,0.05508797781534287,0.025015154675194707,-0.11971596152583419,-0.12114874772953249,-0.07303336544750008,0.07618345015869327,-0.013078226960125923,0.942317123126082,-0.9576948620218629,0.4694337503563971,0.4265270793975163,4.780958824939034
R&B;,0.20791732460423504,0.014248769134264974,0.1656835098996119,-0.02443686840520774,0.019555574168929064,-0.14711765712002234,0.029808251088584307,-0.14748441522729716,-0.6252486890280617,-0.03898603281067643,0.06268605970834384,2.3038471037313126
Classical,-0.36675378333981923,-0.6716992792927772,-0.40140117740012854,-0.11179453850373679,-0.18530868396541053,0.04761535011439821,-0.059997324815427404,1.3578421717932447,2.3385362203283933,-0.0006471795578967737,0.011517973190531697,-1.0
Latin,0.14322164810821558,0.022033306447567604,0.25850218807950226,0.001376188444487534,0.03347029867918618,-0.054350893409445857,0.005494416511432296,0.17874375389657837,-0.615090616856987,-0.02176472844845751,-0.013450347474116813,-0.697022323188705
Vocal,-0.13841905459506226,-0.5458211446726187,-0.2139290653612651,-0.08288659180885975,-0.06654983911707647,-0.02187670061778041,0.011671878433843926,1.1477269354165018,-0.7445151445457612,0.04015039274540948,-0.024225664234813416,-1.0
Folk,0.004887039922658925,-0.4820308675138117,-0.0234598580161453,-0.030457182819388067,-0.0905228641092656,0.10347741603322341,-0.011625429603965521,0.8494466482963674,-0.36125905977088085,-0.044764135364459626,-0.037827576943624576,-0.9805914254789909
Easy Listening,-0.15515863162733717,-0.36666757642182407,-0.2191611648816652,-0.059757686566998966,-0.08061672970355883,-0.03361077971429,-0.06498302623902295,0.7218910512095797,2.536523596355158,-0.045837918391501815,-0.10048742232165547,-1.0
International,0.005271206647865304,-0.2780626604578426,0.21755708107778757,-0.030932295904121915,-0.022831925894690037,-0.06929547811790447,-0.011409081749977628,1.0179727857278489,0.5442448109200558,0.04961821736465501,0.13284903896544156,-0.9262512340065193
Avant-Garde,-0.10162426605687361,-0.2935968097710112,-0.24903032976101452,-0.0763810874422512,-0.13806915389775296,-0.12095709570957056,0.02188860669531184,0.45800136690704024,2.5157868022976126,-0.1069119547460967,0.06390558611399265,-1.0
Blues,0.0914863077441098,-0.18537868610690467,0.22435797929683485,-0.011068607934876495,-0.02024014940525758,0.061926012253735965,-0.02498186006581619,0.5416809272609012,-0.07050063790647103,0.0005078248785924168,0.04651019119627132,-0.9535931442562743
Stage & Screen,-0.45213551078499337,-0.5685261994147262,-0.6217688169315021,-0.13692637611785313,-0.14928310226336816,-0.0562141303164552,-0.07052098553595121,0.916192217733584,2.4666051320350273,-0.049735272670805235,-0.016705310363527643,-1.0
New Age,-0.291900708705702,-0.6193146473077275,-0.5946198861785558,-0.06951310532785958,-0.16667766281034585,-0.05849511213234135,-0.13094164179812848,1.0884909814421673,3.1194070771636873,-0.155211776081393,-0.049728614137092654,-1.0
Religious,-0.03796258718856587,0.1594012474588672,-0.1612789249891042,0.0133447426775283,0.05828763678420034,0.12434966143626679,0.01180342860622991,-0.23970547512885818,-0.8794530778388877,0.08281247485869994,0.0017597207410120553,-1.0
Children's,0.2994280865657393,-0.1999468143615525,0.31904079242005234,0.015408086911108435,0.021345995640086015,0.19913418565353785,-0.15753769552665228,0.6096132491340046,-0.7363972383250861,0.08676101075795742,0.1199163016339615,-1.0
Unknown,-0.22039872801812949,0.2235716549286724,0.5409705576497175,0.15303195965956737,0.016956292674000378,0.3814643215929708,-0.13385825126702472,-0.14406607920591624,0.24473384475321874,-0.4455054010928003,-0.1443002511132289,-1.0
